dep_HA,dep_H0,indep_HA,indep_H0,singcrit,snr,run,arval,nobs,gentype
-19.412264321627404,-19.7820271270768,-21.761120046238062,-21.997705923230427,1.2869848518149978,-20.0,1.0,0.95,400.0,1.0
-21.27937825592608,-21.67023030942371,-23.653323992658024,-23.75370771061662,1.188057865806036,-20.0,2.0,0.95,400.0,1.0
-18.542686312319024,-18.64562545647629,-20.521670491658476,-20.51332126712752,1.1932935906395552,-20.0,3.0,0.95,400.0,1.0
-22.028310239820488,-22.08715093897842,-23.49519092285049,-23.55616089303342,1.152532157955022,-20.0,4.0,0.95,400.0,1.0
-21.236161773034016,-21.32851483830852,-23.44504590330854,-23.561774133833016,1.253699730590058,-20.0,5.0,0.95,400.0,1.0
-15.68201887814372,-16.372772802870916,-18.707696403629782,-18.755604402857063,1.3936733982897036,-20.0,6.0,0.95,400.0,1.0
-21.881552549866875,-22.029661400594087,-23.496565105877227,-23.59379121127554,1.2424096504805964,-20.0,7.0,0.95,400.0,1.0
-21.28590710922693,-21.39358511287427,-23.625893626841943,-23.54816495863012,1.3105709635315386,-20.0,8.0,0.95,400.0,1.0
-19.864264790812168,-19.980904472705728,-21.291755485573468,-21.300332925127833,1.1167916333253916,-20.0,9.0,0.95,400.0,1.0
-16.224094116175618,-16.4944656447723,-18.235796224069595,-18.356840537428972,1.301795553512642,-20.0,10.0,0.95,400.0,1.0
-22.10287686276453,-22.206590822862772,-23.81542768809907,-23.846620741089232,1.086056435397427,-20.0,11.0,0.95,400.0,1.0
-23.59376564640722,-23.707585970374957,-25.407689576120525,-25.428761430547915,1.1174962092744447,-20.0,12.0,0.95,400.0,1.0
-21.608559027837632,-21.68206202535221,-23.737141656818014,-23.73917910333332,1.128417963785594,-20.0,13.0,0.95,400.0,1.0
-22.041850686223395,-22.11272995640623,-23.819255803932705,-23.84933042928931,1.1120805965654392,-20.0,14.0,0.95,400.0,1.0
-20.366036898707236,-20.504776750539275,-22.37023959240446,-22.591648080629408,1.5860931757006342,-20.0,15.0,0.95,400.0,1.0
-23.404831355808316,-23.50537234373622,-25.381308573201384,-25.449115626321344,1.1919684766471281,-20.0,16.0,0.95,400.0,1.0
-21.123243987192737,-21.261254167015768,-22.713866666941023,-22.736043034644187,1.117724076708068,-20.0,17.0,0.95,400.0,1.0
-20.790748158505266,-20.868333379411478,-22.856455516655117,-22.928853111041896,1.1913866550467611,-20.0,18.0,0.95,400.0,1.0
-18.311714227354646,-18.55843864555022,-20.390490211231025,-20.4492371458758,1.213231463775557,-20.0,19.0,0.95,400.0,1.0
-21.730863046597985,-21.82862467308921,-23.634798485724666,-23.68718060755861,1.1537586537952431,-20.0,20.0,0.95,400.0,1.0
-21.0898844838565,-21.430132643073783,-23.473855382089095,-23.495878164080928,1.4591473174098368,-20.0,21.0,0.95,400.0,1.0
-17.474353751397445,-17.573062727400664,-19.737913098853543,-19.82936091828365,1.3090103910557185,-20.0,22.0,0.95,400.0,1.0
-22.245701905128133,-22.344450328314913,-23.99656369446484,-24.03794796105922,1.1031272080857315,-20.0,23.0,0.95,400.0,1.0
-22.969033133948376,-23.211495496539655,-24.71665978994021,-24.809885285291827,1.1726104249502114,-20.0,24.0,0.95,400.0,1.0
-22.90229968543461,-22.96921881650817,-24.709334485783646,-24.721710731542974,1.1051967258426674,-20.0,25.0,0.95,400.0,1.0
-19.91403803624352,-20.075568903767554,-21.52930327293403,-21.548157015851785,1.1208700905382467,-20.0,26.0,0.95,400.0,1.0
-20.562695344523753,-20.861802193596173,-22.648861476602438,-22.731665674943603,1.3301278623032768,-20.0,27.0,0.95,400.0,1.0
-20.600882166663673,-20.658568512040386,-22.31006616544216,-22.36856294405829,1.2088226355008498,-20.0,28.0,0.95,400.0,1.0
-21.446618339899516,-21.520163882948985,-23.72617415178656,-23.73445872357772,1.1176591691261133,-20.0,29.0,0.95,400.0,1.0
-22.69119846530271,-22.73582069675884,-24.604110854903936,-24.685184755511003,1.1897704047868916,-20.0,30.0,0.95,400.0,1.0
-21.009660206100783,-21.13149891215603,-23.038375221259354,-23.093632429518316,1.1917206766496196,-20.0,31.0,0.95,400.0,1.0
-18.9857118177397,-19.478021356262147,-21.306485093041346,-21.349392200914213,1.4503741363446816,-20.0,32.0,0.95,400.0,1.0
-20.75452067129609,-20.85287629799932,-22.687448539231145,-22.752884865463244,1.184627025871971,-20.0,33.0,0.95,400.0,1.0
-19.35767411426376,-19.448993945715895,-21.324184139464208,-21.34390080333174,1.1313216176835177,-20.0,34.0,0.95,400.0,1.0
-17.501399354637865,-17.68922536400007,-19.390981474526388,-19.40780118521763,1.158699128682762,-20.0,35.0,0.95,400.0,1.0
-20.628743780468483,-20.814566439800952,-22.061672444161577,-22.133377882132223,1.1282069596854292,-20.0,36.0,0.95,400.0,1.0
-21.836669407796286,-21.982668166298453,-23.58550567557512,-23.67011002214613,1.2038802979848395,-20.0,37.0,0.95,400.0,1.0
-19.98995723165656,-20.254157166439672,-22.157454234791008,-22.192134055781437,1.2313478987723125,-20.0,38.0,0.95,400.0,1.0
-22.76126531339613,-22.925136101002145,-24.88544906000868,-24.976841673830585,1.2326442062388927,-20.0,39.0,0.95,400.0,1.0
-21.656014137254168,-21.906030879555715,-23.392068402874138,-23.50069820733519,1.2816041293727054,-20.0,40.0,0.95,400.0,1.0
