dep_HA,dep_H0,indep_HA,indep_H0,singcrit,snr,run,arval,nobs,gentype
-18.906809898474428,-18.89456055764847,-21.041663788863143,-21.074425828650305,1.0973345402949999,-20.0,1.0,0.95,400.0,0.0
-16.502391777456822,-16.506771216360136,-19.028150170782794,-19.044443328169464,1.0834597466524183,-20.0,2.0,0.95,400.0,0.0
-19.19519211739147,-19.177452091279775,-20.628281811530922,-20.6400396207949,1.0859750541879116,-20.0,3.0,0.95,400.0,0.0
-20.512735228140066,-20.515353156105473,-22.017831266025503,-22.039945828983168,1.1661361962897197,-20.0,4.0,0.95,400.0,0.0
-22.16452455921108,-22.179043829020188,-23.625336390888908,-23.641834302545483,1.0782893436619447,-20.0,5.0,0.95,400.0,0.0
-18.694915150769656,-18.77381027605585,-21.311481309032033,-21.33367596080575,1.120272718418664,-20.0,6.0,0.95,400.0,0.0
-22.985963342577023,-23.026038269620212,-24.484657132505063,-24.5091524436737,1.087821995580492,-20.0,7.0,0.95,400.0,0.0
-19.98779119315454,-19.99921457491422,-21.853515340194583,-21.851723885197746,1.085938088822068,-20.0,8.0,0.95,400.0,0.0
-21.540797023477044,-21.55037378317631,-22.827762943356976,-22.852073286906734,1.0962737117861738,-20.0,9.0,0.95,400.0,0.0
-18.300608612687647,-18.29100587716884,-20.037532713965607,-20.133790984821967,1.2727606006874301,-20.0,10.0,0.95,400.0,0.0
-21.764246065086734,-21.761013800111517,-23.204414459453353,-23.239921389138665,1.0979495742857786,-20.0,11.0,0.95,400.0,0.0
-20.39058359023749,-20.368281599435246,-22.563121780955314,-22.582620719788277,1.0911547732865163,-20.0,12.0,0.95,400.0,0.0
-18.905488352842106,-18.908966571740542,-20.933958333526974,-20.937210669965992,1.1002473090130511,-20.0,13.0,0.95,400.0,0.0
-20.82363914068247,-21.059364837830152,-23.00367964827906,-23.00563375501042,1.088903368208516,-20.0,14.0,0.95,400.0,0.0
-20.117802469041756,-20.11794696858295,-22.082683745927582,-22.186713957733875,1.3113028222317489,-20.0,15.0,0.95,400.0,0.0
-19.450765565517813,-19.448095325203504,-20.717113691445252,-20.74223220245854,1.102014563902306,-20.0,16.0,0.95,400.0,0.0
-20.42485439978985,-20.439458824094157,-22.013974798918728,-22.03392082419054,1.1022912328195476,-20.0,17.0,0.95,400.0,0.0
-21.8290384791541,-21.770974594803086,-23.786734225127443,-23.804523932529616,1.0898135665497248,-20.0,18.0,0.95,400.0,0.0
-21.843478359572483,-21.862859193970255,-23.789060015147484,-23.838630209875678,1.1222294428495514,-20.0,19.0,0.95,400.0,0.0
-20.40089665108556,-20.376243770984072,-22.136836252730106,-22.169543471418212,1.10576276891384,-20.0,20.0,0.95,400.0,0.0
-16.454423759458397,-17.25151680761395,-18.502937561768476,-18.665155193655085,1.4155255581895794,-20.0,21.0,0.95,400.0,0.0
-21.31830869594864,-21.31448215958342,-23.617503313062425,-23.685596653944117,1.1750539883857791,-20.0,22.0,0.95,400.0,0.0
-17.44859598403561,-17.450914869623013,-19.241634510075453,-19.264399466339366,1.071077055238978,-20.0,23.0,0.95,400.0,0.0
-23.52763729127429,-23.534462445606536,-25.545025808025304,-25.58299761717562,1.117636297837166,-20.0,24.0,0.95,400.0,0.0
-22.736762157191215,-22.714928247360838,-24.44872659168189,-24.45188854946586,1.0845755573419633,-20.0,25.0,0.95,400.0,0.0
-20.762358575557645,-20.731303548899728,-22.64181110376712,-22.64770556605111,1.0907845252670874,-20.0,26.0,0.95,400.0,0.0
-20.150091409306842,-20.16289373336071,-22.10656613471608,-22.10415404060603,1.2129173222784557,-20.0,27.0,0.95,400.0,0.0
-18.66519212642872,-18.673534020534852,-20.929751979025838,-21.04848534800263,1.316696105842179,-20.0,28.0,0.95,400.0,0.0
-18.00286547677107,-17.93456459359693,-20.172538282877863,-20.186693580315733,1.09280666886515,-20.0,29.0,0.95,400.0,0.0
-22.181809363526263,-22.211417959632456,-24.092845562195254,-24.152129992255496,1.247240750507748,-20.0,30.0,0.95,400.0,0.0
-19.79081014631906,-19.79432565199466,-21.802991157705247,-21.780200454598486,1.0736400329797935,-20.0,31.0,0.95,400.0,0.0
-20.634341860608878,-20.68497972503893,-22.437755107186494,-22.445243612079558,1.0770450569570904,-20.0,32.0,0.95,400.0,0.0
-19.487311121582362,-19.586475253783444,-21.62835368025366,-21.64391093318347,1.1211260991332295,-20.0,33.0,0.95,400.0,0.0
-20.967720625297808,-20.990189043842946,-23.030414599538343,-23.046874698083336,1.1045842665754737,-20.0,34.0,0.95,400.0,0.0
-16.346815971416287,-16.313132772408782,-18.22616954111165,-18.194193417462948,1.0820771128076603,-20.0,35.0,0.95,400.0,0.0
-21.2709290831961,-21.258892583147215,-22.406019672791654,-22.422226054691716,1.074499184928646,-20.0,36.0,0.95,400.0,0.0
-21.62213180723709,-21.60693236860133,-23.73789580877956,-23.736259534410145,1.156170061056866,-20.0,37.0,0.95,400.0,0.0
-19.182661930842436,-19.14189477651733,-21.276348314020183,-21.31730690987619,1.1121908577813304,-20.0,38.0,0.95,400.0,0.0
-21.44152554267582,-21.42627254550113,-23.257638060253253,-23.26708608286957,1.0899918432908526,-20.0,39.0,0.95,400.0,0.0
-20.506858432502614,-20.515926131219917,-22.305713144457187,-22.312400773148312,1.1304310515131095,-20.0,40.0,0.95,400.0,0.0
